,,https://capitol.texas.gov/Calendars/CalendarsByLegislature.aspx?Chbr=H,Go to extentions. Press Apps Script Press Run. Allow all permssions.,,,,
Bill,Author,Committee Votes,Fiscal,Caucus,TCC,TFR,Notes
,,,,,,,
,,,,,,,
,,https://capitol.texas.gov/tlodocs/89R/calendars/html/H220250528.htm,,,,,
Page 1,,,,,,,
Major State Calendar Senate Bills Third Reading,,,,,,,
Bill,Author,Committee Votes,Fiscal,Caucus,TCC,TFR,Notes
SB 15,Bettencourt,"Land and Resource Management
 6-0-0-3
 Absent: Davis Y, Hinojosa, Lalani",None,Neutral,Support,,"Support: 4 Constituents, Texas Appleseed, AFP, Amazon, Lumbermen's Association, Libre, Dallas Housing Coalition
Opposed: 2 Constituents"
General State Calendar Senate Bills Third Reading,,,,,,,
Bill,Author,Committee Votes,Fiscal,Caucus,TCC,TFR,Notes
SB 646,West,"Higher Education  
 9-2-0-0  
 No: Shofner, Tinderholt",None,Oppose  ,Oppose,Oppose,Support: Texas Association of Community Health Centers
SB 800,Zaffirini,"Higher Education
 11-0-0-0",None,Oppose,Neutral,,
SB 790,Alvarado,"Natural Resources
 8-0-0-5
 Absent: Martinez, Fairly, Josey Garcia, Romero, Villalobos",None,Support ,Support,,
SB 748,Zaffirini,"Licensing & Administrative Procedures
 10-0-0-3
 Absent: Gerdes, Geren, Romero",None,Support,Support,,
SB 571,Bettencourt,"Public Education
 11-1-0-3
 No: Hinojosa
 Absent: Dutton, Kerwin, Talarico",Yes,Support,Support,,
SB 1957,Hagenbuch,"Intergovernmental Affairs
 6-4-0-1
 No: Zwiener, Cole, Garcia Hernandez, Rosenthal
 Absent: Cortez",None,Support,Support,,
SB 1923,West,"Judiciary & Civil Jurisprudence
 11-0-0-0",None,Support,Support,,
SB 1896,Huffman,"Criminal Jurisprudence
 10-0-0-1
 Absent: Little",None,Support,Support,,
Page 2,,,,,,,
SB 1760,Zaffirini,"Judiciary & Civil Jurisprudence
 11-0-0-0",None,Support,Support,,
SB 1335,Zaffirini,"Judiciary & Civil Jurisprudence
 11-0-0-0",None,Support,Support,,
SB 2368,Campbell,"State Affairs
 15-0-0-0",None,Support,Support,Support,
SB 2477,Bettencourt,"Land & Resource Management
 6-0-0-3
 Absent: Lalani, Hinojosa, Hunter",None,Neutral,Support,Support,Support: AFP 
SB 2587,Zaffirini,"Homeland Security
 6-0-0-5
 Absent: Lopez R, Cortez, Hickland, Holt, Pierson",None,Neutral,Support,,
SB 2986,Campbell,"State Affairs
 13-0-0-2
 Absent: Guillen, Smithee",None,Support,Support,,
SB 2965,Creighton,"Land & Resource Management
 6-0-0-3
 Absent: Lalani, Hinojosa, Hunter",None,Neutral,Support,,"Support: Fire Chiefs, State Association of Fire and Emergency Districts, State Association of Fire Fighters"
SB 1563,Menéndez,"Intergovernmental Affairs
 9-2-0-0
 No: Leo Wilson, Tepper",None,Neutral,Oppose,,
SB 1467,"Hinojosa, Juan ""Chuy""","Public Health
 12-0-0-1
 Absent: Olcott",Yes,Neutral,Support,,
SB 1164,Zaffirini,"Judiciary & Civil Jurisprudence
 11-0-0-0",None,Neutral,Neutral,,
SB 1137,Miles,"Human Services
 7-0-0-4
 Absent: Aicha Davis, Rose, Schatzline, Swanson",None,Neutral,Neutral/amend,,
SB 614,"Hinojosa, Juan ""Chuy""","Criminal Jurisprudence
 9-1-0-1
 No: Virdell
 Absent: Wu",None,Neutral,Support,,
Page 3,,,,,,,
